Artista,Género,Tipo,Nombre,Año,ID
Miguel Bosé,latin pop,track,Puede que,2001,6ZioYho38EzmR15NRVKOl9
Marc Anthony,latin pop,track,Valio la Pena,2001,0auNaXOXs33GglZq5W0ixb
Miguel Bosé,latin pop,track,Te digo amor,2001,1ceXRxQfEX0yuN3wZWcG3J
Alejandro Sanz,latin pop,track,Aprendiz - Unplugged,2001,7efXKi4jjGrXMvO6N7U2N4
Luis Miguel,latin pop,track,"Amor (Amor, amor, amor)",2001,1k4GYtmW7edpJ9uhQmzO66
Diego Torres,latin pop,track,Color Esperanza,2001,3T07pNAEVr9adeIG9i1ex4
Shakira,latin pop,track,Te Dejo Madrid,2001,0IESLhxv5iqXvMH5mm3z88
Luis Miguel,latin pop,track,La última noche,2001,1hO1Nw8W8ssvFPDJaVec41
Enrique Iglesias,latin pop,track,Escapar,2001,3UTEEPuMNeMjfer5BZg2ne
Carlos Vives,latin pop,track,Carito,2001,5czkBkWogUvTf2jleGyHaQ
Diego Torres,latin pop,track,Sueños,2001,6arKgQHCGt2buopAxKTpQt
Alejandro Sanz,latin pop,track,Y sólo se me ocurre amarte,2001,05Zcw1sWmSu3wfbaLTeosp
Bacilos,latin pop,track,Tabaco y Chanel,2001,48svUiwMMYQRPyesVEnof1
Carlos Vives,latin pop,track,Dejame Entrar,2001,2jNqxXMkVVpEvjvvwvUDDD
Raulin Rodriguez,latin pop,track,Popurry Porque Tengo Ganas - En Vivo,2001,7adMt1YTURYd7AMFOswVgy
Miguel Bosé,latin pop,track,Morena mía,2001,0HmQkmfYXRPweIg1ycw1R8
Enrique Iglesias,latin pop,track,Heroe,2001,4AkrkORGjiz7c90mwxAvdW
Sin Bandera,latin pop,track,Sirena,2001,0jBxmxlS1YJza0SDEyTp5d
Sin Bandera,latin pop,track,Kilómetros,2001,0AcFsf9FGjL1Al2RBQ1Crq
Sin Bandera,latin pop,track,Te Vi Venir,2001,3WpUm0g3LnhZcdMDmaj3XM
Shakira,latin pop,track,Que Me Quedes Tú,2001,656yISUj1xcGthQHLC3iT5
Shakira,latin pop,track,"Te Aviso, Te Anuncio (Tango)",2001,6IIvQrGLkX6ZEABLPqyi7C
